5/7/2019, 4:48:52 PM ,,,
 Current Sensitivity ,1.00E-09,,,
 This file comes from It only measurement ,0.00E+00,,,
 Sampling rate ,500,,,
 Number of samples per channel ,-1,,,
 No filter from Labview , , , ,
 , ,,,
 ***End_of_Header*** ,,,,
 , Time , Current , Filtered Current , 
,0.002,-1.07E-11,,
,0.004,-2.15E-11,,
,0.006,-3.24E-11,,
,0.008,-3.29E-11,,
,0.01,-3.32E-11,,
,0.012,-3.31E-11,,
,0.014,-3.27E-11,,
,0.016,-3.20E-11,,
,0.018,-3.18E-11,,
,0.02,-3.19E-11,,
,0.022,-3.21E-11,,
,0.024,-3.22E-11,,
,0.026,-3.20E-11,,
,0.028,-3.19E-11,,
,0.03,-3.14E-11,,
,0.032,-3.08E-11,,
,0.034,-2.98E-11,,
,0.036,-2.91E-11,,
,0.038,-2.89E-11,,
,0.04,-2.92E-11,,
,0.042,-2.93E-11,,
,0.044,-2.89E-11,,
,0.046,-2.84E-11,,
,0.048,-2.76E-11,,
,0.05,-2.70E-11,,
,0.052,-2.65E-11,,
,0.054,-2.60E-11,,
,0.056,-2.62E-11,,
,0.058,-2.62E-11,,
,0.06,-2.68E-11,,
,0.062,-2.62E-11,,
,0.064,-2.56E-11,,
,0.066,-2.46E-11,,
,0.068,-2.41E-11,,
,0.07,-2.38E-11,,
,0.072,-2.36E-11,,
,0.074,-2.36E-11,,
,0.076,-2.34E-11,,
,0.078,-2.32E-11,,
,0.08,-2.26E-11,,
,0.082,-2.20E-11,,
,0.084,-2.15E-11,,
,0.086,-2.13E-11,,
,0.088,-2.13E-11,,
,0.09,-2.16E-11,,
,0.092,-2.17E-11,,
,0.094,-2.16E-11,,
,0.096,-2.10E-11,,
,0.098,-2.04E-11,,
,0.1,-2.00E-11,,
,0.102,-1.98E-11,,
,0.104,-2.00E-11,,
,0.106,-2.00E-11,,
,0.108,-2.02E-11,,
,0.11,-2.02E-11,,
,0.112,-2.03E-11,,
,0.114,-2.01E-11,,
,0.116,-1.97E-11,,
,0.118,-1.95E-11,,
,0.12,-1.97E-11,,
,0.122,-2.03E-11,,
,0.124,-2.09E-11,,
,0.126,-2.12E-11,,
,0.128,-2.12E-11,,
,0.13,-2.12E-11,,
,0.132,-2.09E-11,,
,0.134,-2.05E-11,,
,0.136,-2.04E-11,,
,0.138,-2.09E-11,,
,0.14,-2.15E-11,,
,0.142,-2.19E-11,,
,0.144,-2.20E-11,,
,0.146,-2.18E-11,,
,0.148,-2.16E-11,,
,0.15,-2.13E-11,,
,0.152,-2.14E-11,,
,0.154,-2.16E-11,,
,0.156,-2.22E-11,,
,0.158,-2.27E-11,,
,0.16,-2.28E-11,,
,0.162,-2.26E-11,,
,0.164,-2.22E-11,,
,0.166,-2.20E-11,,
,0.168,-2.19E-11,,
,0.17,-2.20E-11,,
,0.172,-2.22E-11,,
,0.174,-2.25E-11,,
,0.176,-2.29E-11,,
,0.178,-2.29E-11,,
,0.18,-2.28E-11,,
,0.182,-2.20E-11,,
,0.184,-2.17E-11,,
,0.186,-2.16E-11,,
,0.188,-2.19E-11,,
,0.19,-2.25E-11,,
,0.192,-2.28E-11,,
,0.194,-2.26E-11,,
,0.196,-2.21E-11,,
,0.198,-2.17E-11,,
,0.2,-2.14E-11,,
,0.202,-2.13E-11,,
,0.204,-2.12E-11,,
,0.206,-2.16E-11,,
,0.208,-2.17E-11,,
,0.21,-2.18E-11,,
,0.212,-2.17E-11,,
,0.214,-2.14E-11,,
,0.216,-2.10E-11,,
,0.218,-2.04E-11,,
,0.22,-2.06E-11,,
,0.222,-2.11E-11,,
,0.224,-2.15E-11,,
,0.226,-2.15E-11,,
,0.228,-2.13E-11,,
,0.23,-2.11E-11,,
,0.232,-2.06E-11,,
,0.234,-2.02E-11,,
,0.236,-1.98E-11,,
,0.238,-1.98E-11,,
,0.24,-1.99E-11,,
,0.242,-2.01E-11,,
,0.244,-2.00E-11,,
,0.246,-1.98E-11,,
,0.248,-1.95E-11,,
,0.25,-1.91E-11,,
,0.252,-1.88E-11,,
,0.254,-1.89E-11,,
,0.256,-1.90E-11,,
,0.258,-1.92E-11,,
,0.26,-1.90E-11,,
,0.262,-1.89E-11,,
,0.264,-1.85E-11,,
,0.266,-1.80E-11,,
,0.268,-1.75E-11,,
,0.27,-1.73E-11,,
,0.272,-1.75E-11,,
,0.274,-1.75E-11,,
,0.276,-1.76E-11,,
,0.278,-1.75E-11,,
,0.28,-1.73E-11,,
,0.282,-1.68E-11,,
,0.284,-1.63E-11,,
,0.286,-1.62E-11,,
,0.288,-1.67E-11,,
,0.29,-1.72E-11,,
,0.292,-1.74E-11,,
,0.294,-1.74E-11,,
,0.296,-1.69E-11,,
,0.298,-1.65E-11,,
,0.3,-1.58E-11,,
,0.302,-1.55E-11,,
,0.304,-1.54E-11,,
,0.306,-1.55E-11,,
,0.308,-1.56E-11,,
,0.31,-1.56E-11,,
,0.312,-1.54E-11,,
,0.314,-1.49E-11,,
,0.316,-1.44E-11,,
,0.318,-1.44E-11,,
,0.32,-1.46E-11,,
,0.322,-1.54E-11,,
,0.324,-1.56E-11,,
